epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,242.485,0.24062,0.99888,1,0.0136,0.000473657,0.000473657,0.000473657
2,529.493,0.02162,0.99888,1,0.00483,0.000931181,0.000931181,0.000931181
3,994.316,0.03492,0.99888,1,0.0063,0.00136984,0.00136984,0.00136984
4,1556.68,0.0242,1,1,0.00141,0.00134412,0.00134412,0.00134412
5,2005.69,0.01462,0.99888,1,0.00304,0.00131582,0.00131582,0.00131582
6,2317.14,0.021,0.9933,1,0.0197,0.00128753,0.00128753,0.00128753
7,2609.99,0.01295,1,1,0.00051,0.00125923,0.00125923,0.00125923
8,2879.17,0.00826,0.99441,1,0.02088,0.00123094,0.00123094,0.00123094
9,3131.7,0.01074,1,1,0.00024,0.00120265,0.00120265,0.00120265
10,3417.32,0.01501,0.99888,1,0.00221,0.00117435,0.00117435,0.00117435
11,3669.93,0.00661,0.99888,1,0.00192,0.00114606,0.00114606,0.00114606
12,3928.54,0.00705,0.99888,1,0.00246,0.00111776,0.00111776,0.00111776
13,4239.96,0.00854,1,1,0.00095,0.00108947,0.00108947,0.00108947
14,4516.52,0.00448,1,1,9e-05,0.00106118,0.00106118,0.00106118
15,4796.69,0.00783,1,1,0.00074,0.00103288,0.00103288,0.00103288
16,5057.49,0.00862,1,1,0.00014,0.00100459,0.00100459,0.00100459
17,5327.34,0.00593,1,1,0.00057,0.000976293,0.000976293,0.000976293
18,5594.15,0.00664,1,1,0.0001,0.000947999,0.000947999,0.000947999
19,6164.39,0.00429,1,1,0.0001,0.000919704,0.000919704,0.000919704
20,6982.05,0.00241,1,1,9e-05,0.00089141,0.00089141,0.00089141
21,7236.15,0.00273,1,1,0.00027,0.000863116,0.000863116,0.000863116
22,7715.68,0.0047,0.99888,1,0.01152,0.000834822,0.000834822,0.000834822
23,8528.48,0.00566,1,1,0.00074,0.000806528,0.000806528,0.000806528
24,8774.23,0.0061,1,1,0.00029,0.000778233,0.000778233,0.000778233
25,9040.6,0.00348,1,1,7e-05,0.000749939,0.000749939,0.000749939
26,9643.98,0.00366,1,1,3e-05,0.000721645,0.000721645,0.000721645
27,10362.8,0.00798,1,1,0.00022,0.000693351,0.000693351,0.000693351
28,10827.5,0.00293,1,1,0.00031,0.000665057,0.000665057,0.000665057
29,11810.7,0.00353,1,1,4e-05,0.000636762,0.000636762,0.000636762
30,12467.8,0.00536,1,1,0.00011,0.000608468,0.000608468,0.000608468
31,12937.8,0.00247,1,1,0.00059,0.000580174,0.000580174,0.000580174
32,13441.3,0.0032,1,1,5e-05,0.00055188,0.00055188,0.00055188
33,13688.4,0.00262,1,1,2e-05,0.000523586,0.000523586,0.000523586
34,13930.7,0.00136,1,1,1e-05,0.000495291,0.000495291,0.000495291
35,14191.5,0.00267,1,1,4e-05,0.000466997,0.000466997,0.000466997
36,14439.3,0.00241,1,1,1e-05,0.000438703,0.000438703,0.000438703
37,14903.2,0.00371,1,1,3e-05,0.000410409,0.000410409,0.000410409
38,15405.1,0.00144,1,1,7e-05,0.000382115,0.000382115,0.000382115
39,15641.5,0.00188,1,1,0,0.00035382,0.00035382,0.00035382
40,15907.7,0.00065,1,1,1e-05,0.000325526,0.000325526,0.000325526
41,16173.3,0.00135,1,1,1e-05,0.000297232,0.000297232,0.000297232
42,16407.6,0.00087,1,1,1e-05,0.000268938,0.000268938,0.000268938
43,16639.8,0.00281,1,1,2e-05,0.000240644,0.000240644,0.000240644
44,16899.7,0.00057,1,1,1e-05,0.000212349,0.000212349,0.000212349
45,17147.9,0.0027,1,1,3e-05,0.000184055,0.000184055,0.000184055
46,17386.1,0.00544,1,1,3e-05,0.000155761,0.000155761,0.000155761
47,17623.9,0.00134,1,1,4e-05,0.000127467,0.000127467,0.000127467
48,17855.1,0.00213,1,1,5e-05,9.91726e-05,9.91726e-05,9.91726e-05
49,18087.7,0.00223,1,1,0.00013,7.08784e-05,7.08784e-05,7.08784e-05
50,18318.9,0.00102,1,1,9e-05,4.25842e-05,4.25842e-05,4.25842e-05
